,filed_date,transaction_date,reporter,transaction_type,transaction_id,amount,relationship
0,2021-04-30,2021-04-16,"Ron L Wyden [Wyden, Ron]",Sale (Full),19a274dd-2f9c-4468-b9f2-dc68f2d2ac6b,"$50,001 - $100,000",--Spouse
1,2021-04-30,2021-04-16,"Ron L Wyden [Wyden, Ron]",Sale (Full),19a274dd-2f9c-4468-b9f2-dc68f2d2ac6b,"$50,001 - $100,000",--Spouse
2,2021-04-30,2021-04-01,"Ron L Wyden [Wyden, Ron]",Purchase,19a274dd-2f9c-4468-b9f2-dc68f2d2ac6b,"$15,001 - $50,000",--Spouse
3,2021-04-26,2021-03-31,"Patrick J Toomey [Toomey, Pat]",Purchase,37a7e285-49c2-425c-a02a-c40330e2e52b,"$1,001 - $15,000","Aiara is a new investment of SRI Capital Fund I, LP (""SRI""), a venture capital fund. Sen. Toomey and his wife have a limited partnership interest in SRI.Joint"
4,2021-04-23,2021-04-06,"Rick Scott [Scott, Rick]",Purchase,d5f6be77-a2f6-49c5-8f4d-e299ffae70db,"$500,001 - $1,000,000",--Spouse
5,2021-04-23,2021-03-26,"Rick Scott [Scott, Rick]",Purchase,d5f6be77-a2f6-49c5-8f4d-e299ffae70db,"$100,001 - $250,000",--Self
6,2021-04-22,2021-04-15,"Gary C Peters [Peters, Gary]",Purchase,084b183f-b04b-4d5d-98d4-3c3768a099ab,"$1,001 - $15,000",--Self
7,2021-04-22,2021-03-22,"Gary C Peters [Peters, Gary]",Exchange,084b183f-b04b-4d5d-98d4-3c3768a099ab,"$1,001 - $15,000",--Self
8,2021-04-16,2021-04-05,"Ladda Tammy Duckworth [Duckworth, Tammy]",Sale (Full),d746dd73-17e0-4fb7-9228-f410962653c0,"$15,001 - $50,000",--Joint
9,2021-04-16,2021-04-05,"Ladda Tammy Duckworth [Duckworth, Tammy]",Sale (Partial),d746dd73-17e0-4fb7-9228-f410962653c0,"$1,001 - $15,000",--Joint
10,2021-04-16,2021-04-05,"Ladda Tammy Duckworth [Duckworth, Tammy]",Sale (Full),d746dd73-17e0-4fb7-9228-f410962653c0,"$1,001 - $15,000",--Joint
11,2021-04-13,2021-03-05,"Daniel S Sullivan [Sullivan, Dan]",Sale (Partial),378080ec-6299-4274-a5e6-aa4f68577985,"$15,001 - $50,000","The filer's portfolio is managed by a third party investment professional. The filer was advised of these transactions on April 13, 2021. This activity is part of an ongoing long-term portfolio diversification strategy that regularly includes similar transactionsJoint"
12,2021-04-12,2021-03-29,"Mark R Warner [Warner, Mark]",Sale (Full),57115c4a-d7fd-47d0-ad5b-597aff5656ea,"$1,000,001 - $5,000,000",--Self
13,2021-04-12,2021-03-03,"Shelley M Capito [Capito, Shelley Moore]",Purchase,ab7ffb25-df44-407d-9972-1608b7be4861,"$100,001 - $250,000",--Spouse
14,2021-04-12,2021-03-09,"Shelley M Capito [Capito, Shelley Moore]",Purchase,ab7ffb25-df44-407d-9972-1608b7be4861,"$1,001 - $15,000",--Spouse
15,2021-04-12,2021-03-09,"Shelley M Capito [Capito, Shelley Moore]",Purchase,ab7ffb25-df44-407d-9972-1608b7be4861,"$1,001 - $15,000",--Spouse
16,2021-04-12,2021-03-09,"Shelley M Capito [Capito, Shelley Moore]",Purchase,ab7ffb25-df44-407d-9972-1608b7be4861,"$1,001 - $15,000",--Spouse
17,2021-04-12,2021-03-24,"Shelley M Capito [Capito, Shelley Moore]",Purchase,ab7ffb25-df44-407d-9972-1608b7be4861,"$15,001 - $50,000",--Spouse
18,2021-04-12,2021-03-25,"Shelley M Capito [Capito, Shelley Moore]",Sale (Partial),ab7ffb25-df44-407d-9972-1608b7be4861,"$1,001 - $15,000",--Spouse
19,2021-04-09,2021-04-06,"Ron L Wyden [Wyden, Ron]",Sale (Partial),c4771ad7-1434-4eb6-a5b8-d53fa8f70249,"$100,001 - $250,000",--Spouse
20,2021-04-09,2021-04-06,"Ron L Wyden [Wyden, Ron]",Sale (Partial),c4771ad7-1434-4eb6-a5b8-d53fa8f70249,"$100,001 - $250,000",--Spouse
21,2021-04-09,2021-04-06,"Ron L Wyden [Wyden, Ron]",Sale (Full),c4771ad7-1434-4eb6-a5b8-d53fa8f70249,"$100,001 - $250,000",--Spouse
22,2021-04-09,2021-04-06,"Ron L Wyden [Wyden, Ron]",Sale (Full),c4771ad7-1434-4eb6-a5b8-d53fa8f70249,"$100,001 - $250,000",--Spouse
23,2021-04-09,2021-04-06,"Ron L Wyden [Wyden, Ron]",Sale (Full),c4771ad7-1434-4eb6-a5b8-d53fa8f70249,"$15,001 - $50,000",--Spouse
24,2021-04-09,2021-04-06,"Ron L Wyden [Wyden, Ron]",Sale (Full),c4771ad7-1434-4eb6-a5b8-d53fa8f70249,"$1,001 - $15,000",Underlying asset of Fidelity Brokerage - Dependent #3Child
25,2021-04-09,2021-04-06,"Ron L Wyden [Wyden, Ron]",Sale (Full),c4771ad7-1434-4eb6-a5b8-d53fa8f70249,"$1,001 - $15,000",Underlying asset of Fidelity Brokerage - Dependent #2Child
26,2021-04-09,2021-04-06,"Ron L Wyden [Wyden, Ron]",Sale (Full),c4771ad7-1434-4eb6-a5b8-d53fa8f70249,"$1,001 - $15,000",Underlying asset of Fidelity Brokerage - Dependent #1Child
27,2021-04-08,2021-03-26,"William F Hagerty, IV [Hagerty, Bill]",Purchase,6788596d-6a54-4caf-a73c-f03f5d2f6e5f,"$15,001 - $50,000","Asset held by Roundstone Ventures, LLCSelf"
28,2021-04-08,2021-03-31,"Susan M Collins [Collins, Susan M.]",Purchase,46d660a1-eca6-48cf-976e-bb7f49946397,"$100,001 - $250,000",--Spouse
29,2021-04-08,2021-03-16,"Susan M Collins [Collins, Susan M.]",Purchase,46d660a1-eca6-48cf-976e-bb7f49946397,"$50,001 - $100,000",--Spouse
30,2021-04-02,2021-03-30,"Ron L Wyden [Wyden, Ron]",Sale (Partial),37d25209-4ff8-4113-a8d2-bb4b2810351e,"$1,001 - $15,000",--Spouse
31,2021-04-02,2021-03-05,"Ron L Wyden [Wyden, Ron]",Purchase,37d25209-4ff8-4113-a8d2-bb4b2810351e,"$1,001 - $15,000",--Spouse
32,2021-04-02,2021-03-04,"Ron L Wyden [Wyden, Ron]",Purchase,37d25209-4ff8-4113-a8d2-bb4b2810351e,"$1,001 - $15,000",--Spouse
33,2021-04-02,2021-03-04,"Ron L Wyden [Wyden, Ron]",Purchase,37d25209-4ff8-4113-a8d2-bb4b2810351e,"$1,001 - $15,000",--Spouse
34,2021-04-01,2021-03-26,"Thomas R Carper [Carper, Thomas R.]",Purchase,52d54a0a-b378-441c-8a5b-38007a211b78,"$15,001 - $50,000",--Spouse
35,2021-04-01,2021-03-26,"Thomas R Carper [Carper, Thomas R.]",Purchase,52d54a0a-b378-441c-8a5b-38007a211b78,"$15,001 - $50,000",--Spouse
36,2021-04-01,2021-03-24,"Thomas R Carper [Carper, Thomas R.]",Sale (Full),52d54a0a-b378-441c-8a5b-38007a211b78,"$15,001 - $50,000",--Spouse
37,2021-04-01,2021-03-24,"Thomas R Carper [Carper, Thomas R.]",Sale (Full),52d54a0a-b378-441c-8a5b-38007a211b78,"$15,001 - $50,000",--Spouse
38,2021-04-01,2021-03-01,"Thomas R Carper [Carper, Thomas R.]",Sale (Full),52d54a0a-b378-441c-8a5b-38007a211b78,"$1,001 - $15,000",--Spouse
39,2021-04-01,2021-02-12,"John W Hickenlooper [Hickenlooper, John]",Purchase,e3f4d9c3-2ada-4fad-9e67-3941095a8f0c,"$1,001 - $15,000",--Spouse
40,2021-04-01,2021-02-18,"John W Hickenlooper [Hickenlooper, John]",Purchase,e3f4d9c3-2ada-4fad-9e67-3941095a8f0c,"$1,001 - $15,000",--Spouse
41,2021-03-23,2021-02-26,"Ron L Wyden [Wyden, Ron]",Purchase,32a40eaa-a4a2-4bc3-a594-1c05cbe0531b,"$1,001 - $15,000",--Spouse
42,2021-03-23,2021-02-26,"Ron L Wyden [Wyden, Ron]",Purchase,32a40eaa-a4a2-4bc3-a594-1c05cbe0531b,"$1,001 - $15,000",--Spouse
43,2021-03-23,2021-02-26,"Ron L Wyden [Wyden, Ron]",Purchase,32a40eaa-a4a2-4bc3-a594-1c05cbe0531b,"$1,001 - $15,000",--Spouse
44,2021-03-16,2021-03-03,"A. Mitchell McConnell, Jr [McConnell, A. Mitchell Jr.]",Purchase,ed8c186c-c456-4ce6-a8d7-4e8cc7175fd3,"$1,001 - $15,000",Dividend ReinvestmentSpouse
45,2021-03-14,2021-02-23,"Shelley M Capito [Capito, Shelley Moore]",Sale (Full),3542ce53-b0e3-46a1-92f5-8f32c262fe3d,"$1,001 - $15,000",--Spouse
46,2021-03-14,2021-02-23,"Shelley M Capito [Capito, Shelley Moore]",Purchase,3542ce53-b0e3-46a1-92f5-8f32c262fe3d,"$50,001 - $100,000",--Spouse
47,2021-03-14,2021-02-08,"Shelley M Capito [Capito, Shelley Moore]",Sale (Partial),3542ce53-b0e3-46a1-92f5-8f32c262fe3d,"$1,001 - $15,000",--Spouse
48,2021-03-10,2021-02-05,"Mark R Warner [Warner, Mark]",Sale (Partial),39693df5-619c-4640-ab14-d54f0786ba3a,"$100,001 - $250,000","Underlying asset of Sachs Capital - Empire B, LLCSelf"
